function_id,rank_dqn,rank_standard_pso,rank_depso,rank_sdms_pso,dqn,standard_pso,depso,sdms_pso,count_dqn
1,2,4,3,5,33.962856287662134,5771.556035102684,1592.2364617567125,12553.769902730166,"{'o1': 13774, 'o2': 7501, 'o3': 13754, 'o4': 7525, 'o5': 4740, 'o6': 8794, 'o7': 9917, 'o8': 16165, 'o9': 17830}"
2,2,1,4,3,3.7682981761640463e-06,5.102702642854079e-07,6.400394888317253e-05,1.4444318945308098e-05,"{'o1': 12872, 'o2': 8546, 'o3': 12444, 'o4': 8659, 'o5': 6539, 'o6': 9887, 'o7': 11119, 'o8': 14342, 'o9': 15592}"
3,1,2,4,3,0.0,0.0,2.2616749098970105e-27,0.0,"{'o1': 13314, 'o2': 6246, 'o3': 16779, 'o4': 5289, 'o5': 3757, 'o6': 6719, 'o7': 7551, 'o8': 19698, 'o9': 20647}"
4,1,4,2,3,0.0060204592979274585,0.18090828597794187,0.019798223633175904,0.03182541269590697,"{'o1': 12400, 'o2': 4061, 'o3': 20766, 'o4': 3445, 'o5': 2243, 'o6': 4229, 'o7': 4856, 'o8': 24514, 'o9': 23486}"
5,4,3,5,1,14.11500843608256,12.934457666574625,34.94998968339371,4.974795285466449,"{'o1': 10146, 'o2': 9839, 'o3': 11935, 'o4': 9707, 'o5': 9731, 'o6': 12575, 'o7': 10693, 'o8': 11617, 'o9': 13757}"
6,2,3,1,4,0.4075680283494545,1.3193044629005948,0.0071445659979677174,2.2379855237045394,"{'o1': 13538, 'o2': 6214, 'o3': 16702, 'o4': 5249, 'o5': 3295, 'o6': 6608, 'o7': 7886, 'o8': 19929, 'o9': 20579}"
7,3,2,5,4,21.575793968923026,18.916040172645676,52.54052214244791,22.195251983404614,"{'o1': 10281, 'o2': 9798, 'o3': 11896, 'o4': 9772, 'o5': 9350, 'o6': 12532, 'o7': 10808, 'o8': 11632, 'o9': 13931}"
8,1,3,2,5,1.9899181141865796,5.969754342559742,4.974795285466451,8.954626476020536,"{'o1': 13255, 'o2': 7775, 'o3': 13675, 'o4': 7547, 'o5': 5332, 'o6': 9002, 'o7': 10067, 'o8': 15809, 'o9': 17538}"
9,1,2,4,3,1.9833952364786867e-29,1.9833952364786867e-29,5.369553280455411e-28,1.9833952364786867e-29,"{'o1': 13386, 'o2': 5034, 'o3': 18806, 'o4': 3923, 'o5': 2528, 'o6': 5241, 'o7': 5919, 'o8': 22128, 'o9': 23035}"
10,2,4,5,3,335.89040348586695,1045.4467885413314,1276.6359330398805,519.8507408922965,"{'o1': 12442, 'o2': 8521, 'o3': 12861, 'o4': 8402, 'o5': 6830, 'o6': 10250, 'o7': 10341, 'o8': 14412, 'o9': 15941}"
11,2,3,5,1,0.9949590570970589,10.666139969764686,20.894048899984824,0.9949590570934796,"{'o1': 13292, 'o2': 6969, 'o3': 14980, 'o4': 6673, 'o5': 4691, 'o6': 8218, 'o7': 9100, 'o8': 17292, 'o9': 18785}"
12,2,3,4,5,1886.4056621931525,3048.238235316296,3557.4067341727246,11945.95494845205,"{'o1': 12205, 'o2': 9021, 'o3': 12250, 'o4': 8876, 'o5': 7276, 'o6': 10325, 'o7': 11108, 'o8': 14020, 'o9': 14919}"
13,2,4,5,3,49.49946888403415,7150.206554474127,9083.634228604551,813.3145317950869,"{'o1': 10504, 'o2': 9562, 'o3': 12085, 'o4': 9514, 'o5': 8840, 'o6': 12389, 'o7': 10727, 'o8': 12157, 'o9': 14222}"
14,2,4,5,3,29.006510781194653,91.53385813103114,5211.196388987049,45.85525432635543,"{'o1': 10615, 'o2': 9668, 'o3': 11855, 'o4': 9451, 'o5': 9016, 'o6': 12406, 'o7': 10729, 'o8': 12058, 'o9': 14202}"
15,1,4,5,3,8.040614210620692,1570.4584050117135,6593.576223642075,27.701282287179396,"{'o1': 10534, 'o2': 9835, 'o3': 11726, 'o4': 9735, 'o5': 9126, 'o6': 12237, 'o7': 10633, 'o8': 12104, 'o9': 14070}"
16,2,5,4,1,0.9239980964224482,356.98875337846454,237.2798409717503,0.891152479786244,"{'o1': 11923, 'o2': 8940, 'o3': 12446, 'o4': 8972, 'o5': 7407, 'o6': 10536, 'o7': 10668, 'o8': 13795, 'o9': 15313}"
17,2,5,3,4,36.11690619039574,77.57006254295882,46.28559754040393,53.711298560600845,"{'o1': 10323, 'o2': 10031, 'o3': 11501, 'o4': 9714, 'o5': 9380, 'o6': 12820, 'o7': 10729, 'o8': 11845, 'o9': 13657}"
18,2,5,4,3,217.8102319372387,10531.64919464127,10449.034463231514,6507.267661785017,"{'o1': 10325, 'o2': 9814, 'o3': 11944, 'o4': 9610, 'o5': 9055, 'o6': 12378, 'o7': 10937, 'o8': 11800, 'o9': 14137}"
19,1,4,5,3,5.401507163312693,131.2037493068334,951.7402417208702,19.506224322684705,"{'o1': 10537, 'o2': 9779, 'o3': 11975, 'o4': 9539, 'o5': 9031, 'o6': 12275, 'o7': 10722, 'o8': 12094, 'o9': 14048}"
20,3,4,5,2,21.541171104978407,148.65947569077605,300.2478389181905,21.307155126515095,"{'o1': 10286, 'o2': 9623, 'o3': 12084, 'o4': 9796, 'o5': 9059, 'o6': 12423, 'o7': 10654, 'o8': 12031, 'o9': 14044}"
21,2,4,3,5,100.0003699256622,213.98437324035038,209.31827461146852,214.71292794086742,"{'o1': 13491, 'o2': 7116, 'o3': 14323, 'o4': 6772, 'o5': 4727, 'o6': 8316, 'o7': 9231, 'o8': 17009, 'o9': 19015}"
22,2,5,4,3,100.39835548018496,112.07368016379041,100.63704489836455,100.63219329858526,"{'o1': 13801, 'o2': 7013, 'o3': 14624, 'o4': 6858, 'o5': 4265, 'o6': 8103, 'o7': 9332, 'o8': 17070, 'o9': 18934}"
23,2,5,4,3,305.0504302980329,339.77157619766115,315.34266963524357,307.29380379655083,"{'o1': 13350, 'o2': 7639, 'o3': 13985, 'o4': 7276, 'o5': 5076, 'o6': 8598, 'o7': 9758, 'o8': 16471, 'o9': 17847}"
24,2,5,3,4,335.3130827318046,356.0508688867954,335.5680331594609,340.39033055792015,"{'o1': 12119, 'o2': 8419, 'o3': 12742, 'o4': 8536, 'o5': 6915, 'o6': 10528, 'o7': 10273, 'o8': 14325, 'o9': 16143}"
25,2,5,4,3,397.7572312060604,446.10981636697363,443.5679626583295,398.37781721887075,"{'o1': 13943, 'o2': 6914, 'o3': 14861, 'o4': 6591, 'o5': 4061, 'o6': 7918, 'o7': 9074, 'o8': 17291, 'o9': 19347}"
26,3,5,4,1,300.00679252001316,517.9827055589757,300.0067925200132,0.0457908903129715,"{'o1': 13775, 'o2': 6797, 'o3': 15277, 'o4': 6269, 'o5': 3884, 'o6': 7605, 'o7': 8851, 'o8': 18147, 'o9': 19395}"
27,3,5,4,2,395.9846532788338,466.316812020606,408.6253521979885,390.0399326268088,"{'o1': 13775, 'o2': 7184, 'o3': 14584, 'o4': 6759, 'o5': 4222, 'o6': 7982, 'o7': 9263, 'o8': 17312, 'o9': 18919}"
28,5,2,3,4,611.821665880331,300.01027343805316,300.0102734380532,300.0102734380532,"{'o1': 13825, 'o2': 7260, 'o3': 14361, 'o4': 6772, 'o5': 4318, 'o6': 8111, 'o7': 9589, 'o8': 17229, 'o9': 18535}"
29,3,2,4,1,-1433.4774714235516,-1438.1239305912113,-1379.293399344454,-1453.5219198032376,"{'o1': 10156, 'o2': 9765, 'o3': 11977, 'o4': 9639, 'o5': 9442, 'o6': 12610, 'o7': 10842, 'o8': 11650, 'o9': 13919}"
30,2,5,4,3,1469.0464519036925,3534.07155723614,3180.5554460481353,2943.7330945687154,"{'o1': 11608, 'o2': 9310, 'o3': 11958, 'o4': 9246, 'o5': 7876, 'o6': 11092, 'o7': 11066, 'o8': 13079, 'o9': 14765}"
